KundeNr,Geschlecht,Alter,Einkommen,Niederlassung,Zeit,Preis
K0795,Weiblich,57.0,68942.0,Nordrhein-Westfalen,51.0,96688.41
K0796,Männlich,39.0,61809.0,Nordrhein-Westfalen,44.0,80843.31
K0797,Weiblich,68.0,67429.0,Bayern,54.0,100668.95
K0798,Männlich,46.0,51329.0,Thüringen,32.0,77922.3
K0799,Weiblich,68.0,66119.0,Brandenburg,59.0,107741.21
K0800,Weiblich,51.0,48813.0,Sachsen,28.0,52577.91
K0801,Weiblich,55.0,68214.0,Niedersachsen,47.0,75900.15
K0802,Weiblich,54.0,71828.0,Nordrhein-Westfalen,54.0,99915.01
K0803,Männlich,46.0,47322.0,Baden-Württemberg,34.0,73162.63
K0804,Männlich,42.0,58398.0,Bayern,38.0,86430.54
K0805,Männlich,49.0,69675.0,Baden-Württemberg,51.0,92342.53
K0806,Männlich,54.0,84027.0,Niedersachsen,58.0,117270.4
K0807,Weiblich,33.0,41016.0,Bayern,36.0,61945.93
K0808,Männlich,39.0,39831.0,Nordrhein-Westfalen,41.0,56301.97
K0809,Weiblich,32.0,28303.0,Bayern,26.0,57388.47
K0810,Männlich,70.0,68456.0,Nordrhein-Westfalen,51.0,111312.94
K0811,Weiblich,47.0,69003.0,Baden-Württemberg,46.0,102390.57
K0812,Männlich,65.0,58549.0,Baden-Württemberg,38.0,97388.62
K0813,Weiblich,51.0,72996.0,Bayern,50.0,124497.54
K0814,Weiblich,63.0,63391.0,Berlin,43.0,105484.64
K0815,Männlich,37.0,37168.0,Bayern,30.0,55031.56
K0816,Männlich,69.0,77676.0,Nordrhein-Westfalen,62.0,126864.71
K0817,Weiblich,48.0,48903.0,Baden-Württemberg,38.0,59895.32
K0818,Männlich,70.0,90512.0,Bayern,56.0,133444.42
K0819,Männlich,66.0,95730.0,Nordrhein-Westfalen,63.0,138765.11
K0820,Männlich,35.0,35300.0,Baden-Württemberg,33.0,58384.57
K0821,Männlich,55.0,59442.0,Sachsen,36.0,88964.7
K0822,Männlich,63.0,71039.0,Thüringen,48.0,98163.51
K0823,Männlich,35.0,48297.0,Baden-Württemberg,37.0,62369.93
K0824,Männlich,66.0,74400.0,Bayern,51.0,114577.68
K0825,Männlich,62.0,86770.0,Berlin,63.0,112809.13
K0826,Weiblich,51.0,72225.0,Nordrhein-Westfalen,52.0,120296.65
K0827,Männlich,50.0,45848.0,Hessen,47.0,48780.22
K0828,Weiblich,35.0,48079.0,Niedersachsen,39.0,65670.65
K0829,Männlich,35.0,58918.0,Nordrhein-Westfalen,57.0,82500.37
K0830,Männlich,33.0,34894.0,Baden-Württemberg,29.0,60765.14
K0831,Männlich,59.0,65278.0,Nordrhein-Westfalen,42.0,91121.52
K0832,Männlich,40.0,42128.0,Niedersachsen,40.0,78281.31
K0833,Männlich,59.0,62970.0,Hessen,56.0,83862.47
K0834,Männlich,60.0,51460.0,Sachsen,31.0,80985.24
K0835,Männlich,53.0,47554.0,Niedersachsen,37.0,85424.37
K0836,Männlich,38.0,46525.0,Bayern,34.0,80802.74
K0837,Weiblich,32.0,55589.0,Berlin,44.0,60798.72
K0838,Männlich,60.0,62903.0,Brandenburg,47.0,125573.59
K0839,Männlich,69.0,72349.0,Baden-Württemberg,61.0,103823.85
K0840,Weiblich,66.0,94518.0,Thüringen,62.0,119618.58
K0841,Männlich,65.0,62961.0,Baden-Württemberg,56.0,106364.96
K0842,Männlich,53.0,43943.0,Niedersachsen,35.0,71806.29
K0843,Weiblich,60.0,60569.0,Brandenburg,52.0,89849.34
K0844,Männlich,35.0,35242.0,Baden-Württemberg,34.0,63070.96
K0845,Weiblich,31.0,19138.0,Sachsen,37.0,21471.65
K0846,Weiblich,49.0,56231.0,Nordrhein-Westfalen,33.0,67307.08
K0847,Männlich,57.0,76586.0,Hamburg,45.0,104976.08
K0848,Männlich,40.0,33908.0,Bayern,45.0,69238.65
K0849,Männlich,33.0,41209.0,Baden-Württemberg,30.0,56426.61
K0850,Männlich,44.0,56488.0,Bayern,39.0,99913.03
K0851,Männlich,35.0,41525.0,Bayern,30.0,75726.31
K0852,Weiblich,59.0,70484.0,Brandenburg,58.0,107496.17
K0853,Männlich,67.0,79290.0,Thüringen,46.0,122565.05
K0854,Männlich,31.0,29275.0,Hessen,30.0,51628.74
K0855,Weiblich,44.0,68447.0,Sachsen,47.0,96292.93
K0856,Weiblich,40.0,61386.0,Niedersachsen,53.0,81555.07
K0857,Männlich,37.0,57504.0,Berlin,40.0,78406.83
K0858,Männlich,55.0,75123.0,Nordrhein-Westfalen,55.0,97596.04
K0859,Männlich,34.0,24264.0,Berlin,44.58485401459854,22580.44
K0860,Männlich,35.0,52473.0,Nordrhein-Westfalen,57.0,86012.47
K0861,Männlich,55.0,71240.0,Bayern,49.0,106132.59
K0862,Männlich,33.0,23596.0,Baden-Württemberg,27.0,44008.34
K0863,Weiblich,48.0,54204.0,Nordrhein-Westfalen,54.0,86153.64
K0864,Männlich,49.0,60621.0,Hessen,41.0,81988.0
K0865,Männlich,62.0,89774.0,Sachsen,72.0,117051.99
K0866,Männlich,49.0,65479.0,Sachsen,45.0,92555.99
K0867,Männlich,41.0,39563.0,Baden-Württemberg,39.0,78550.75
K0868,Weiblich,30.0,55391.0,Brandenburg,39.0,61951.79
K0869,Weiblich,55.0,64604.0,Berlin,38.0,69621.64
K0870,Weiblich,43.0,48335.0,Hessen,42.0,68096.85
K0871,Männlich,67.0,73602.0,Nordrhein-Westfalen,56.0,124908.81
K0872,Männlich,66.0,58457.0,Bayern,35.0,79415.76
K0873,Männlich,40.0,46664.0,Hessen,36.0,59309.97
K0874,Männlich,65.0,80375.0,Niedersachsen,64.0,121858.27
K0875,Männlich,42.0,45845.0,Baden-Württemberg,42.0,97820.78
K0876,Weiblich,32.0,43734.0,Nordrhein-Westfalen,34.0,49055.81
K0877,Männlich,62.0,62350.0,Hessen,42.0,84761.44
K0878,Männlich,35.0,40901.0,Sachsen,49.0,66275.03
K0879,Männlich,39.0,50202.0,Bayern,30.0,86793.36
K0880,Männlich,34.0,43401.0,Baden-Württemberg,36.0,58491.97
K0881,Männlich,52.0,43463.0,Brandenburg,26.0,57784.07
K0882,Weiblich,39.0,42008.0,Baden-Württemberg,45.0,69244.54
K0883,Weiblich,31.0,56282.0,Thüringen,43.0,81611.9
K0884,Weiblich,42.0,44684.0,Baden-Württemberg,39.0,87308.31
K0885,Männlich,69.0,79491.0,Nordrhein-Westfalen,74.0,127058.7
K0886,Männlich,31.0,37149.0,Hamburg,29.0,65317.0
K0887,Männlich,49.0,74627.0,Bayern,65.0,102198.45
K0888,Männlich,30.0,50998.0,Baden-Württemberg,38.0,95539.65
K0889,Weiblich,66.0,84822.0,Hessen,56.0,118968.62
K0890,Männlich,38.0,35130.0,Hessen,51.0,52189.58
K0891,Männlich,46.0,58260.0,Bayern,43.0,104933.18
K0892,Männlich,38.0,51844.0,Sachsen,31.0,60596.45
K0893,Männlich,40.0,40278.0,Bayern,37.0,45917.71
K0894,Weiblich,44.0,42754.0,Berlin,35.0,69418.9
K0895,Männlich,53.0,80451.0,Hamburg,58.0,112949.61
K0896,Männlich,67.0,73888.0,Baden-Württemberg,51.0,111202.84
K0897,Männlich,64.0,91409.0,Sachsen,76.0,140161.07
K0898,Männlich,59.0,79283.0,Berlin,59.0,105625.52
K0899,Weiblich,60.0,73978.0,Baden-Württemberg,44.0,109383.25
K0900,Weiblich,34.0,46252.0,Berlin,39.0,62891.18
K0901,Weiblich,43.0,35922.0,Hessen,27.0,51533.78
K0902,Weiblich,40.0,50097.0,Hamburg,38.0,73036.86
K0903,Männlich,38.0,61052.0,Niedersachsen,39.0,93849.29
K0904,Weiblich,63.0,80199.0,Baden-Württemberg,70.0,138366.29
K0905,Männlich,41.0,50613.0,Bayern,35.0,81875.89
K0906,Männlich,64.0,92461.0,Nordrhein-Westfalen,66.0,105443.46
K0907,Weiblich,64.0,71888.0,Baden-Württemberg,49.0,108277.84
K0908,Männlich,30.0,30285.0,Nordrhein-Westfalen,22.0,49774.03
K0909,Weiblich,69.0,80988.0,Baden-Württemberg,57.0,130219.27
K0910,Männlich,51.0,68102.0,Nordrhein-Westfalen,52.0,101089.53
K0911,Männlich,58.0,48755.0,Bayern,43.0,95736.22
K0912,Weiblich,37.0,47689.0,Hessen,20.0,73619.96
K0913,Weiblich,40.0,56643.0,Baden-Württemberg,35.0,96334.06
K0914,Männlich,70.0,77481.0,Baden-Württemberg,60.0,114318.99
K0915,Männlich,66.0,88070.0,Bayern,53.0,129089.55
K0916,Männlich,43.0,58063.0,Baden-Württemberg,45.0,93120.95
K0917,Männlich,59.0,91693.0,Bayern,52.0,121840.18
K0918,Männlich,64.0,65754.0,Hamburg,53.0,95513.44
K0919,Weiblich,50.0,67714.0,Hessen,55.0,90616.13
K0920,Männlich,66.0,65032.0,Nordrhein-Westfalen,53.0,96232.71
K0921,Weiblich,34.0,23826.0,Niedersachsen,34.0,48808.86
K0922,Männlich,48.0,34459.0,Hessen,43.0,44237.57
K0923,Männlich,43.0,56948.0,Berlin,35.0,67634.12
K0924,Weiblich,55.0,66128.0,Berlin,43.0,117054.79
K0925,Männlich,33.0,35064.0,Berlin,39.0,48350.07
K0926,Männlich,54.0,43811.0,Nordrhein-Westfalen,45.0,77794.39
K0927,Männlich,54.0,55557.0,Bayern,38.0,72637.98
K0928,Weiblich,47.0,55494.0,Baden-Württemberg,38.0,83850.57
K0929,Weiblich,69.0,87922.0,Niedersachsen,54.0,120453.26
K0930,Männlich,37.0,44420.0,Bayern,26.0,51519.02
K0931,Männlich,68.0,80968.0,Sachsen,47.0,135002.85
K0932,Männlich,69.0,75241.0,Nordrhein-Westfalen,44.0,128050.39
K0933,Weiblich,43.0,70080.0,Baden-Württemberg,48.0,94723.69
K0934,Weiblich,61.0,59597.0,Baden-Württemberg,47.0,104647.51
K0935,Männlich,67.0,69567.0,Brandenburg,53.0,128522.22
K0936,Männlich,62.0,66385.0,Hessen,45.0,110890.06
K0937,Männlich,52.0,66760.0,Bayern,45.0,103242.45
K0938,Weiblich,44.0,40928.0,Niedersachsen,36.0,68349.12
K0939,Weiblich,62.0,73197.0,Hessen,41.0,115604.15
K0940,Männlich,54.0,64833.0,Bayern,54.0,93686.46
K0941,Männlich,46.0,46834.0,Baden-Württemberg,47.0,71854.37
K0942,Männlich,62.0,75303.0,Nordrhein-Westfalen,48.0,116978.57
K0943,Weiblich,31.0,27160.0,Bayern,26.0,40495.11
K0944,Männlich,43.0,38995.0,Nordrhein-Westfalen,43.0,61300.12
K0945,Weiblich,69.0,80400.0,Berlin,54.0,120052.16
K0946,Männlich,69.0,61320.0,Hessen,50.0,113385.31
K0947,Männlich,68.0,54974.0,Nordrhein-Westfalen,42.0,83002.22
K0948,Männlich,35.0,48208.0,Nordrhein-Westfalen,50.0,78096.44
K0949,Männlich,35.0,53806.0,Berlin,45.0,84195.58
K0950,Männlich,32.0,34112.0,Bayern,36.0,62280.35
K0951,Weiblich,36.0,36269.0,Nordrhein-Westfalen,37.0,49092.44
K0952,Männlich,37.0,55505.0,Berlin,39.0,61612.78
K0953,Männlich,44.0,39771.0,Baden-Württemberg,32.0,72076.48
K0954,Männlich,58.0,52599.0,Sachsen,47.0,88810.94
K0955,Weiblich,62.0,79399.0,Baden-Württemberg,56.0,125617.3
K0956,Weiblich,59.0,68568.0,Baden-Württemberg,41.0,95476.41
K0957,Männlich,68.0,89783.0,Baden-Württemberg,73.0,138190.26
K0958,Weiblich,56.0,42003.0,Hessen,43.0,84471.99
K0959,Männlich,65.0,59789.0,Niedersachsen,45.0,96988.98
K0960,Männlich,58.0,67540.0,Bayern,47.0,106543.4
K0961,Weiblich,67.0,81679.0,Bayern,57.0,124223.23
K0962,Weiblich,62.0,80910.0,Bayern,59.0,108522.61
K0963,Weiblich,66.0,77961.0,Niedersachsen,40.0,121393.97
K0964,Männlich,56.0,67000.0,Baden-Württemberg,63.0,117255.91
K0965,Männlich,62.0,67502.0,Sachsen,43.0,104564.5
K0966,Weiblich,33.0,57513.0,Bayern,44.0,62722.06
K0967,Männlich,51.0,47827.0,Thüringen,39.0,71298.43
K0968,Männlich,31.0,41983.0,Baden-Württemberg,50.0,43660.45
K0969,Männlich,39.0,36057.0,Nordrhein-Westfalen,32.0,73098.28
K0970,Männlich,34.0,47144.0,Bayern,50.0,76527.76
K0971,Männlich,39.0,35523.0,Baden-Württemberg,36.0,54246.76
K0972,Weiblich,62.0,79791.0,Nordrhein-Westfalen,48.0,101275.87
K0973,Männlich,67.0,78366.0,Nordrhein-Westfalen,55.0,109630.95
K0974,Männlich,42.0,68945.0,Berlin,49.0,88842.18
K0975,Männlich,60.0,66507.0,Niedersachsen,41.0,103384.25
K0976,Weiblich,65.0,79589.0,Hessen,57.0,117896.45
K0977,Männlich,53.0,53504.0,Nordrhein-Westfalen,42.0,98914.66
K0978,Männlich,44.0,49072.0,Bayern,43.0,68862.67
K0979,Weiblich,58.0,68532.0,Hamburg,51.0,86666.09
K0980,Weiblich,37.0,28037.0,Brandenburg,24.0,37558.95
K0981,Weiblich,34.0,25970.0,Bayern,33.0,45444.01
K0982,Weiblich,58.0,73890.0,Sachsen,48.0,100147.52
K0983,Männlich,33.0,38675.0,Baden-Württemberg,44.58485401459854,56493.4
K0984,Weiblich,41.0,42509.0,Baden-Württemberg,37.0,61738.05
K0985,Männlich,31.0,30097.0,Hessen,26.0,59710.03
K0986,Weiblich,56.0,57640.0,Niedersachsen,46.0,83811.43
K0987,Weiblich,60.0,70775.0,Baden-Württemberg,64.0,101574.15
K0988,Weiblich,65.0,79806.0,Berlin,69.0,124673.13
K0989,Weiblich,65.0,52291.0,Sachsen,40.0,83234.33
K0990,Männlich,55.0,79452.0,Bayern,49.0,117307.67
K0991,Männlich,56.0,79765.0,Niedersachsen,59.0,117216.16
K0992,Weiblich,34.0,16069.0,Nordrhein-Westfalen,20.0,36929.31
K0993,Weiblich,49.0,69396.0,Berlin,52.0,86666.48
K0994,Männlich,40.0,59298.0,Sachsen,40.0,96941.73
K0995,Männlich,39.0,46774.0,Nordrhein-Westfalen,40.0,93641.06
K0996,Männlich,69.0,65252.0,Berlin,42.0,105771.99
K0997,Weiblich,67.0,88160.0,Hessen,67.0,116308.36
K0998,Weiblich,35.0,39813.0,Niedersachsen,31.0,60757.87
K0999,Männlich,37.0,50552.0,Hessen,45.0,83913.36
K1000,Männlich,52.0,84942.0,Nordrhein-Westfalen,49.0,110785.84
K1001,Weiblich,55.0,66861.0,Bayern,54.0,97465.12
K1002,Weiblich,41.0,38996.0,Bayern,28.0,66237.4
K1003,Männlich,55.0,60489.0,Bayern,47.0,105741.8
K1004,Männlich,42.0,41463.0,Baden-Württemberg,43.0,74976.67
K1005,Männlich,69.0,84021.0,Baden-Württemberg,56.0,133358.19
K1006,Männlich,47.0,46708.0,Nordrhein-Westfalen,31.0,70719.18
K1007,Männlich,54.0,57917.0,Niedersachsen,47.0,94386.02
K1008,Weiblich,62.0,57795.0,Niedersachsen,38.0,85730.62
K1009,Weiblich,69.0,77887.0,Hessen,51.0,126098.91
K1010,Männlich,41.0,50856.0,Nordrhein-Westfalen,42.0,87967.12
K1011,Weiblich,65.0,45863.0,Brandenburg,47.0,88037.39
K1012,Männlich,33.0,43075.0,Nordrhein-Westfalen,37.0,60255.17
K1013,Männlich,34.0,40849.0,Bayern,36.0,60157.5
K1014,Männlich,66.0,67768.0,Sachsen,54.0,125157.59
K1015,Männlich,37.0,66600.0,Niedersachsen,49.0,86748.87
K1016,Weiblich,57.0,76694.0,Bayern,58.0,120681.69
K1017,Weiblich,60.0,57664.0,Hessen,51.0,95386.14
K1018,Männlich,38.0,54775.0,Hamburg,40.0,75261.51
K1019,Männlich,58.0,80881.0,Baden-Württemberg,33.0,102290.11
K1020,Weiblich,43.0,52541.0,Hessen,36.0,79916.64
K1021,Männlich,69.0,58894.676657584016,Bayern,65.0,125140.05
K1022,Männlich,70.0,84074.0,Baden-Württemberg,57.0,144045.32
K1023,Weiblich,51.0,37169.0,Sachsen,31.0,57319.84
K1024,Männlich,40.0,45828.0,Niedersachsen,46.0,93946.55
K1025,Männlich,52.0,58284.0,Nordrhein-Westfalen,43.0,93481.79
K1026,Männlich,30.0,52514.0,Niedersachsen,27.0,76020.69
K1027,Weiblich,66.0,79684.0,Bayern,44.0,111685.27
K1028,Männlich,50.0,55477.0,Hamburg,46.0,88889.58
K1029,Männlich,55.0,63152.0,Niedersachsen,46.0,101027.77
K1030,Weiblich,65.0,86078.0,Thüringen,68.0,133381.03
K1031,Männlich,52.0,58873.0,Bayern,39.0,80225.35
K1032,Weiblich,30.0,29432.0,Nordrhein-Westfalen,28.0,61522.97
K1033,Männlich,69.0,76330.0,Sachsen,47.0,120784.01
K1034,Weiblich,44.0,62396.0,Niedersachsen,43.0,94641.94
K1035,Männlich,50.0,64086.0,Sachsen,34.0,92285.2
K1036,Männlich,38.0,46165.0,Berlin,35.0,60325.44
K1037,Männlich,38.0,47762.0,Thüringen,39.0,72194.21
K1038,Männlich,39.0,40699.0,Niedersachsen,34.0,66612.75
K1039,Weiblich,55.0,62026.0,Baden-Württemberg,61.0,79649.63
K1040,Weiblich,70.0,73211.0,Sachsen,64.0,121272.09
K1041,Männlich,64.0,70698.0,Brandenburg,45.0,118855.24
K1042,Männlich,54.0,77644.0,Berlin,40.0,103145.7
K1043,Weiblich,55.0,52440.0,Hessen,41.0,73482.49
K1044,Weiblich,40.0,40385.0,Baden-Württemberg,38.0,60570.44
K1045,Männlich,67.0,63547.0,Berlin,41.0,103123.57
K1046,Männlich,31.0,22137.0,Nordrhein-Westfalen,20.0,38697.44
K1047,Männlich,36.0,41489.0,Baden-Württemberg,47.0,63321.68
K1048,Weiblich,47.0,48752.0,Bayern,38.0,78207.23
K1049,Männlich,56.0,84320.0,Baden-Württemberg,62.0,104544.82
K1050,Männlich,63.0,69742.0,Berlin,43.0,94365.56
K1051,Männlich,56.0,79198.0,Nordrhein-Westfalen,54.0,85437.96
K1052,Weiblich,46.0,64863.0,Nordrhein-Westfalen,45.0,101644.17
K1053,Männlich,53.0,59694.0,Sachsen,40.0,91743.18
K1054,Männlich,54.0,85929.0,Hessen,66.0,129836.57
K1055,Männlich,36.0,46427.0,Bayern,28.0,57408.1
K1056,Männlich,35.0,58838.0,Sachsen,47.0,81539.66
K1057,Männlich,53.0,77106.0,Nordrhein-Westfalen,51.0,111716.45
K1058,Männlich,62.0,76222.0,Hessen,56.0,107580.68
K1059,Männlich,58.0,75531.0,Niedersachsen,50.0,94646.93
K1060,Männlich,51.0,66558.0,Sachsen,54.0,115445.45
K1061,Männlich,55.0,51720.0,Niedersachsen,34.0,98714.27
K1062,Weiblich,57.0,66921.0,Bayern,57.0,95988.37
K1063,Weiblich,50.0,70355.0,Niedersachsen,50.0,104977.17
K1064,Männlich,36.0,60066.0,Baden-Württemberg,36.0,78126.13
K1065,Weiblich,46.0,46549.0,Berlin,43.0,62984.61
K1066,Männlich,49.0,63355.0,Berlin,45.0,111931.58
K1067,Männlich,70.0,82041.0,Baden-Württemberg,44.0,106587.98
K1068,Männlich,49.0,56341.0,Baden-Württemberg,45.0,83125.26
K1069,Männlich,51.0,63650.0,Baden-Württemberg,54.0,95477.5
K1070,Weiblich,57.0,68664.0,Niedersachsen,58.0,118552.48
K1071,Weiblich,69.0,85191.0,Nordrhein-Westfalen,55.0,134143.64
K1072,Weiblich,36.0,59150.0,Thüringen,46.0,63818.75
K1073,Männlich,30.0,45508.0,Bayern,38.0,64916.89
K1074,Männlich,61.0,74008.0,Hessen,62.0,110730.9
K1075,Männlich,42.0,70246.0,Sachsen,44.0,94369.73
K1076,Männlich,59.0,80507.0,Baden-Württemberg,52.0,122494.92
K1077,Männlich,52.0,59873.0,Niedersachsen,39.0,76854.89
K1078,Männlich,48.0,43335.0,Nordrhein-Westfalen,27.0,67948.2
K1079,Männlich,61.0,59927.0,Baden-Württemberg,47.0,100903.48
K1080,Männlich,59.0,78591.0,Nordrhein-Westfalen,66.0,121131.95
K1081,Weiblich,58.0,60549.0,Nordrhein-Westfalen,44.0,95376.05
K1082,Weiblich,58.0,56452.0,Baden-Württemberg,37.0,86683.9
K1083,Weiblich,59.0,58894.676657584016,Baden-Württemberg,46.0,92837.59
K1084,Männlich,45.0,45825.0,Baden-Württemberg,42.0,80681.1
K1085,Männlich,69.0,88545.0,Bayern,58.0,130019.9
K1086,Männlich,48.0,54835.0,Brandenburg,52.0,73324.94
K1087,Weiblich,47.0,40566.0,Hamburg,30.0,54913.08
K1088,Männlich,30.0,37341.0,Bayern,32.0,41316.33
K1089,Männlich,43.0,53520.0,Sachsen,44.0,94866.27
K1090,Weiblich,31.0,32891.0,Bayern,34.0,59486.79
K1091,Männlich,57.0,78835.0,Baden-Württemberg,55.0,112307.45
K1092,Männlich,59.0,63905.0,Bayern,38.0,94428.01
K1093,Männlich,67.0,89170.0,Hamburg,76.0,123408.48
K1094,Männlich,33.0,46732.0,Berlin,37.0,78942.39
K1095,Männlich,30.0,47053.0,Bayern,39.0,85990.12
K1096,Männlich,37.0,32686.0,Baden-Württemberg,36.0,49215.87
K1097,Männlich,58.0,68451.0,Nordrhein-Westfalen,45.0,114851.71
K1098,Männlich,68.0,77662.0,Thüringen,54.0,118227.18
K1099,Weiblich,32.0,23753.0,Bayern,22.0,40179.55
K1100,Männlich,61.0,82624.0,Berlin,59.0,134755.8
K1101,Männlich,39.0,37905.0,Hessen,32.0,61717.86
K1102,Männlich,39.0,40159.0,Niedersachsen,37.0,67170.69
K1103,Weiblich,48.0,45545.0,Berlin,30.0,75700.83
K1104,Männlich,63.0,80414.0,Sachsen,49.0,101554.64
K1105,Weiblich,42.0,57149.5,Hessen,35.0,
K1106,Männlich,34.0,43358.56,Berlin,33.0,
K1107,Männlich,33.0,45748.43,Niedersachsen,55.0,
K1108,Männlich,57.0,58633.97,Thüringen,32.0,
K1109,Weiblich,43.0,53592.01,Nordrhein-Westfalen,31.0,
K1110,Männlich,37.0,38266.32,Baden-Württemberg,36.0,
K1111,Männlich,38.0,50640.42,Bayern,28.0,
K1112,Männlich,64.0,70306.35,Berlin,36.0,
K1113,Weiblich,66.0,76115.95,Bayern,59.0,
K1114,Männlich,50.0,43389.67,Niedersachsen,38.0,
K1115,Männlich,47.0,46132.95,Nordrhein-Westfalen,38.0,
K1116,Weiblich,62.0,77682.56,Nordrhein-Westfalen,28.0,
K1117,Weiblich,37.0,37026.7,Thüringen,52.0,
K1118,Weiblich,46.0,65112.43,Bayern,54.0,
K1119,Männlich,60.0,63515.36,Nordrhein-Westfalen,44.0,
K1120,Männlich,63.0,79754.38,Nordrhein-Westfalen,42.0,
K1121,Weiblich,35.0,35620.92,Bayern,33.0,
K1122,Männlich,51.0,64923.25,Nordrhein-Westfalen,39.0,
K1123,Weiblich,43.0,38133.97,Baden-Württemberg,27.0,
K1124,Weiblich,32.0,34848.44,Nordrhein-Westfalen,24.0,
K1125,Männlich,41.0,41970.76,Hamburg,20.0,
K1126,Weiblich,65.0,86000.22,Bayern,39.0,
K1127,Weiblich,41.0,53765.36,Niedersachsen,21.0,
K1128,Männlich,31.0,26637.98,Niedersachsen,30.0,
K1129,Männlich,31.0,35916.95,Bayern,34.0,
K1130,Männlich,44.0,46191.88,Baden-Württemberg,45.0,
K1131,Männlich,52.0,71199.25,Berlin,29.0,
K1132,Männlich,58.0,81205.21,Hessen,46.0,
K1133,Weiblich,46.0,42528.58,Nordrhein-Westfalen,44.0,
K1134,Weiblich,61.0,80750.62,Sachsen,24.0,
K1135,Männlich,36.0,36252.28,Hamburg,46.0,
K1136,Männlich,59.0,68648.91,Nordrhein-Westfalen,32.0,
K1137,Weiblich,57.0,68849.42,Berlin,30.0,
K1138,Männlich,43.0,68343.43,Nordrhein-Westfalen,32.0,
K1139,Weiblich,59.0,61880.0,Bayern,35.0,
K1140,Männlich,46.0,63048.01,Berlin,31.0,
K1141,Männlich,61.0,62738.78,Niedersachsen,27.0,
K1142,Männlich,35.0,31305.75,Baden-Württemberg,27.0,
K1143,Weiblich,53.0,64075.21,Nordrhein-Westfalen,36.0,
K1144,Männlich,35.0,42684.33,Nordrhein-Westfalen,33.0,
K1145,Weiblich,56.0,41843.15,Berlin,40.0,
K1146,Männlich,47.0,67161.18,Berlin,36.0,
K1147,Männlich,53.0,44536.67,Nordrhein-Westfalen,36.0,
K1148,Männlich,66.0,77908.29,Nordrhein-Westfalen,41.0,
K1149,Weiblich,53.0,75785.77,Bayern,49.0,
K1150,Weiblich,67.0,100322.37,Bayern,50.0,
K1151,Männlich,63.0,72396.21,Niedersachsen,48.0,
K1152,Männlich,69.0,69862.2,Hessen,44.0,
K1153,Männlich,44.0,64786.55,Baden-Württemberg,56.0,
K1154,Männlich,40.0,56212.03,Bayern,39.0,
K1155,Männlich,51.0,57040.85,Sachsen,38.0,
K1156,Weiblich,53.0,58268.38,Niedersachsen,57.0,
K1157,Weiblich,30.0,30096.84,Thüringen,35.330699774266364,
K1158,Männlich,47.0,53602.48,Nordrhein-Westfalen,33.0,
K1159,Männlich,41.0,52447.56,Sachsen,48.0,
K1160,Weiblich,57.0,63456.63,Bayern,45.0,
K1161,Weiblich,69.0,78816.43,Nordrhein-Westfalen,61.0,
K1162,Männlich,36.0,49453.96,Baden-Württemberg,36.0,
K1163,Männlich,52.0,49271.15,Niedersachsen,31.0,
K1164,Männlich,50.0,56874.93,Berlin,32.0,
K1165,Männlich,63.0,60561.81,Bayern,38.0,
K1166,Männlich,40.0,49390.74,Nordrhein-Westfalen,51.0,
K1167,Männlich,51.0,43966.82,Nordrhein-Westfalen,51.0,
K1168,Weiblich,64.0,84876.3,Baden-Württemberg,34.0,
K1169,Männlich,58.0,57893.55,Hessen,38.0,
K1170,Männlich,57.0,52580.66,Bayern,29.0,
K1171,Männlich,47.0,53430.97,Berlin,30.0,
K1172,Weiblich,43.0,67392.46,Nordrhein-Westfalen,45.0,
K1173,Weiblich,47.0,63119.27,Bayern,51.0,
K1174,Männlich,57.0,51230.94,Sachsen,28.0,
K1175,Männlich,53.0,51711.71,Baden-Württemberg,37.0,
K1176,Weiblich,37.0,41292.54,Niedersachsen,33.0,
K1177,Männlich,37.0,65035.0,Niedersachsen,44.0,
K1178,Männlich,33.0,31654.71,Bayern,31.0,
K1179,Männlich,56.0,58982.67,Bayern,16.0,
K1180,Männlich,65.0,91807.01,Nordrhein-Westfalen,45.0,
K1181,Männlich,34.0,43060.35,Nordrhein-Westfalen,32.0,
K1182,Weiblich,62.0,83975.47,Bayern,33.0,
K1183,Weiblich,63.0,69114.67,Hamburg,39.0,
K1184,Männlich,59.0,70012.56,Baden-Württemberg,39.0,
K1185,Weiblich,37.0,56717.59,Bayern,40.0,
K1186,Männlich,68.0,80288.2,Brandenburg,19.0,
K1187,Männlich,55.0,76311.86,Baden-Württemberg,41.0,
K1188,Weiblich,66.0,82714.6,Nordrhein-Westfalen,16.0,
K1189,Weiblich,63.0,66297.53,Niedersachsen,43.0,
K1190,Männlich,36.0,43526.39,Sachsen,46.0,
K1191,Männlich,69.0,91625.0,Niedersachsen,21.0,
K1192,Weiblich,57.0,74592.8,Sachsen,38.0,
K1193,Weiblich,68.0,81230.95,Hessen,46.0,
K1194,Weiblich,68.0,64541.88,Hessen,31.0,
K1195,Männlich,57.0,52369.61,Thüringen,42.0,
K1196,Männlich,43.0,37696.63,Niedersachsen,35.330699774266364,
K1197,Männlich,67.0,75807.66,Baden-Württemberg,46.0,
K1198,Männlich,33.0,36719.1,Nordrhein-Westfalen,35.0,
K1199,Weiblich,47.0,43409.22,Sachsen,32.0,
K1200,Männlich,54.0,74220.58,Nordrhein-Westfalen,45.0,
K1201,Männlich,36.0,32281.86,Hessen,52.0,
